FID,OBJECTID,SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,STATUS,PUBLIC_NAM,POINT_X,POINT_Y
98,99,9323.000000000000000,BELMONT,KILBOURN,WB,NS,77,N77,CHICAGO,1,Belmont & Kilbourn,-87.739390029999996,41.938979009999997
99,100,10892.000000000000000,74TH STREET,PARNELL,WB,MT,75, ,CHICAGO,1,74th Street & Parnell,-87.638421899999997,41.759892039999997
100,101,3285.000000000000000,63RD STREET,LEAMINGTON,WB,NT,63W, ,CHICAGO,1,63rd Street & Leamington,-87.750836519999993,41.778315849999998
101,102,17090.000000000000000,71ST STREET,EBERHART,WB,FS,71, ,CHICAGO,1,71st Street & Eberhart,-87.612979400000000,41.765829859999997
102,103,12181.000000000000000,103RD STREET,MALTA,WB,FS,103, ,CHICAGO,1,103rd Street & Malta,-87.656980720000007,41.706830189999998
103,104,12591.000000000000000,ADDISON,KOSTNER,WB,MT,152, ,CHICAGO,1,Addison & Kostner,-87.737185600000004,41.946306200000002
104,105,9354.000000000000000,BELMONT,ORIOLE,WB,NS,77, ,CHICAGO,1,Belmont & Oriole (76th Avenue),-87.816386789999996,41.938013710000000
105,106,12193.000000000000000,103RD STREET,OAKLEY (west leg),WB,NS,103, ,CHICAGO,1,103rd Street & Oakley,-87.679875480000007,41.706450179999997
106,107,6826.000000000000000,16TH STREET,WASHTENAW,WB,NS,18, ,CHICAGO,1,16th Street & Washtenaw,-87.693175420000003,41.859305759999998
107,108,148.000000000000000,JACKSON,LOTUS,WB,FS,126, ,CHICAGO,1,Jackson & Lotus,-87.761545490000003,41.876612119999997
108,109,12061.000000000000000,LUNT,GLENWOOD (west leg),WB,NS,96, ,CHICAGO,1,Lunt & Glenwood,-87.666125289999997,42.009170980000000
109,110,10128.000000000000000,71ST STREET,SPRINGFIELD,WB,NS,67, ,CHICAGO,1,71st Street & Springfield,-87.719662999999997,41.764156999999997
110,111,6836.000000000000000,16TH STREET,SPRINGFIELD,WB,NS,18, ,CHICAGO,1,16th Street & Springfield,-87.722299250000006,41.858961549999997
111,112,497.000000000000000,MADISON,LAMON,WB,NS,20,N20,CHICAGO,1,Madison & Lamon,-87.747518499999998,41.880570589999998
112,113,15819.000000000000000,119TH STREET,WESTERN,EB,FS,119, ,BLUE ISLAND,1,119th Street & Western,-87.680306689999995,41.677140700000002
113,114,12182.000000000000000,103RD STREET,CHARLES,WB,NS,103, ,CHICAGO,1,103rd Street & Charles,-87.658547740000003,41.706804290000001
114,115,11898.000000000000000,CALIFORNIA,BERWYN,NB,NS,93, ,CHICAGO,1,California & Berwyn,-87.698903999999999,41.977569000000003
115,116,1522.000000000000000,S HYDE PARK,5200 SOUTH,NB,MB,"6,28", ,CHICAGO,1,5200 S S Hyde Park,-87.584424459999994,41.800846550000003
116,117,5068.000000000000000,RACINE,61ST STREET,NB,NS,44, ,CHICAGO,1,Racine & 61st Street,-87.654512569999994,41.783166670000000
117,118,14368.000000000000000,DODGE,LEE,NB,NS,"93,206", ,EVANSTON,2,Dodge & Lee,-87.699089520000001,42.035577429999996
118,119,9710.000000000000000,NAGLE,HAFT,NB,NS,86, ,CHICAGO,1,Nagle & Haft,-87.787430959999995,41.995149849999997
119,120,9074.000000000000000,PULASKI,PINK LINE STATION,NB,MB,53, ,CHICAGO,1,Pulaski Pink Line Station,-87.724699400000006,41.853679780000000
120,121,4435.000000000000000,ARCHER,34TH STREET,NEB,NS,62,N62,CHICAGO,1,Archer & 34th Street,-87.673916660000003,41.832565420000002
121,122,6101.000000000000000,ASHLAND,66TH STREET,SB,NS,9,N9,CHICAGO,1,Ashland & 66th Street,-87.664200620000003,41.774118540000003
122,123,10460.000000000000000,SKOKIE BLVD,MADISON,SB,NT,54A, ,SKOKIE,1,Skokie Blvd & Madison,-87.747551000000001,42.031601000000002
123,124,2868.000000000000000,VINCENNES,MONTVALE,NEB,NS,111, ,CHICAGO,1,Vincennes & Montvale,-87.665615180000003,41.688248600000001
124,125,3091.000000000000000,KEDZIE,56TH STREET,SB,NS,"52,52A", ,CHICAGO,1,Kedzie & 56th Street,-87.703584399999997,41.791785160000003
125,126,2940.000000000000000,115TH STREET,ABERDEEN,EB,NS,115, ,CHICAGO,1,115th Street & Aberdeen,-87.649509309999999,41.684934949999999
126,127,8147.000000000000000,47TH STREET,ALBANY,EB,NT,47, ,CHICAGO,1,47th Street & Albany,-87.701566589999999,41.808100949999996
127,128,9287.000000000000000,BELMONT,SEMINARY,EB,NS,77,N77,CHICAGO,1,Belmont & Seminary,-87.656657449999997,41.939799809999997
128,129,9239.000000000000000,BELMONT,NEW ENGLAND,EB,NS,77,N77,CHICAGO,1,Belmont & New England,-87.798220000000001,41.938060000000000
129,130,11935.000000000000000,95TH STREET,1500 EAST (BLACKSTONE),EB,NS,"N5,95,100",N5,CHICAGO,1,1500 E 95th Street,-87.587952000000001,41.722203999999998
130,131,4033.000000000000000,ARMITAGE,4600 WEST,EB,MB,73, ,CHICAGO,1,4600 W Armitage,-87.741798639999999,41.916927280000003
131,132,4043.000000000000000,ARMITAGE,LAWNDALE,EB,NS,73, ,CHICAGO,1,Armitage & Lawndale,-87.719324380000003,41.917193589999997
132,133,8157.000000000000000,47TH STREET,OAKLEY,EB,NS,"47,48", ,CHICAGO,1,47th Street & Oakley,-87.682106149999996,41.808375009999999
133,134,9722.000000000000000,LAWRENCE,OCTAVIA,EB,NS,81W, ,HARWOOD HEIGHTS,1,Lawrence & Octavia,-87.809602999999996,41.967098000000000
134,135,7801.000000000000000,PERSHING,FRANCISCO,EB,NS,39, ,CHICAGO,1,Pershing & Francisco,-87.697209139999998,41.822679770000001
135,136,14526.000000000000000,75TH STREET,EXCHANGE,EB,FS,71, ,CHICAGO,1,75th Street & Exchange,-87.559562049999997,41.759289979999998
136,137,31.000000000000000,JACKSON,ALBANY,EB,FS,126, ,CHICAGO,1,Jackson & Albany,-87.703322999999997,41.877288000000000
137,138,9263.000000000000000,BELMONT,KNOX (east leg),EB,NS,77,N77,CHICAGO,1,Belmont & Knox,-87.743293219999998,41.938805490000000
138,139,11027.000000000000000,DIVERSEY,SEMINARY (east leg),EB,NS,76, ,CHICAGO,1,Diversey & Seminary,-87.656466920000000,41.932570800000001
139,140,7256.000000000000000,91ST STREET,BRANDON,EB,NS,"26,30", ,CHICAGO,1,91st Street & Brandon,-87.546989280000005,41.730031799999999
140,141,9957.000000000000000,115TH STREET,LAWNDALE,EB,NS,52A, ,UNINCORPORATED,1,115th Street & Lawndale,-87.712921260000002,41.684019919999997
141,142,9614.000000000000000,FILLMORE,AUSTIN,EB,FS,91, ,CHICAGO,1,Fillmore & Austin,-87.774062689999994,41.867224550000003
142,143,8043.000000000000000,ROOT,PRINCETON (west leg),EB,NS,43, ,CHICAGO,1,Root & Princeton,-87.633645000000001,41.818995999999999
143,144,12680.000000000000000,CHURCH,MAPLE (east leg),EB,NT,"201,205", ,EVANSTON,2,Church & Maple,-87.685058170000005,42.048401300000002
144,145,2881.000000000000000,111TH STREET,UNION,EB,NS,111, ,CHICAGO,1,111th Street & Union,-87.640054350000000,41.692324929999998
145,146,15423.000000000000000,OLD ORCHARD RD,4700 WEST,EB,MB,201, ,EVANSTON,1,4700 W Old Orchard Rd,-87.744729660000004,42.062315419999997
146,147,185.000000000000000,HARRISON,WASHTENAW,EB,NS,7, ,CHICAGO,1,Harrison & Washtenaw,-87.693779000000006,41.873755000000003
147,148,10938.000000000000000,75TH STREET,LANGLEY,EB,NS,75, ,CHICAGO,1,75th Street & Langley,-87.607939220000006,41.758479340000001
148,149,6753.000000000000000,16TH STREET,ROCKWELL,EB,NS,18, ,CHICAGO,1,16th Street & Rockwell,-87.690796800000001,41.859252400000003
149,150,12472.000000000000000,ADDISON,OVERHILL,EB,NS,152, ,CHICAGO,1,Addison & Overhill,-87.819705999999996,41.945169000000000
150,151,9442.000000000000000,87TH STREET,ESCANABA (west leg),EB,NS,87, ,CHICAGO,1,87th Street & Escanaba,-87.554301039999999,41.737287950000002
151,152,11447.000000000000000,PETERSON,LINCOLN,EB,NS,84, ,CHICAGO,1,Peterson & Lincoln,-87.707494850000003,41.990280919999996
152,153,1732.000000000000000,DEVON,HOYNE,EB,NS,155, ,CHICAGO,1,Devon & Hoyne,-87.682673890000004,41.997747220000001
